student_id,district,gender,income_tier,treatment_group,baseline_score,parent_trust,tech_adopted,attrition_status,endline_score
1,Lahore,Female,Middle,Control,55,Disagree,No,Surveyed,56.21710851498374
2,Faisalabad,Male,Low,Control,39,Strongly Agree,Yes,Not Reached,47.50962580156352
3,Lahore,Female,High,Control,45,Agree,No,Surveyed,45.803716630086114
4,Faisalabad,Male,Middle,Control,51,Agree,Yes,Not Reached,49.215344787407844
5,Lahore,Female,High,Control,33,Agree,Yes,Surveyed,42.97172479533563
6,Lahore,Male,Low,Treatment,52,Strongly Agree,No,Surveyed,74.93251832630277
7,Faisalabad,Male,Middle,Treatment,48,Agree,Yes,Surveyed,68.19103235207683
8,Multan,Male,Middle,Control,12,Agree,Yes,Refused,15.117804260770715
9,Faisalabad,Male,High,Treatment,57,Strongly Agree,Yes,Surveyed,77.03261259480199
10,Multan,Female,High,Treatment,19,Agree,Yes,Surveyed,26.05384805315014
11,Islamabad,Female,Low,Treatment,36,Agree,Yes,Not Reached,45.0637676318881
12,Lahore,Female,Low,Treatment,33,Agree,No,Surveyed,56.952218341877256
13,Faisalabad,Male,Middle,Treatment,44,Strongly Agree,Yes,Refused,55.811388435898166
14,Islamabad,Male,High,Treatment,57,Agree,No,Surveyed,66.00272289827238
15,Lahore,Female,High,Treatment,36,Strongly Disagree,No,Refused,49.50511991553183
16,Lahore,Male,Low,Treatment,69,Strongly Disagree,Yes,Surveyed,87.46854971723263
17,Faisalabad,Male,Middle,Control,43,Agree,Yes,Surveyed,50.06764664711915
18,Multan,Male,Low,Treatment,51,Strongly Disagree,Yes,Surveyed,72.98450788985964
19,Lahore,Male,Low,Control,48,Agree,Yes,Surveyed,56.361505595920775
20,Islamabad,Male,High,Treatment,37,Agree,No,Surveyed,42.57224740973447
21,Faisalabad,Male,High,Treatment,48,Agree,Yes,Refused,56.54740050600685
22,Lahore,Male,High,Control,35,Strongly Disagree,No,Refused,27.516174578008396
23,Multan,Female,Middle,Treatment,54,Strongly Agree,Yes,Not Reached,69.3939318903644
24,Multan,Female,High,Control,35,Disagree,Yes,Surveyed,36.282514605590535
25,Faisalabad,Male,Middle,Treatment,60,Disagree,Yes,Not Reached,76.90583610110065
26,Multan,Male,Low,Treatment,48,Disagree,Yes,Refused,66.57976442569843
27,Multan,Male,Low,Treatment,27,Agree,Yes,Surveyed,43.24793731958819
28,Lahore,Male,High,Control,73,Strongly Disagree,Yes,Surveyed,76.19010878269377
29,Karachi,Male,Low,Control,58,Strongly Agree,No,Surveyed,66.30432094724259
30,Faisalabad,Female,Low,Treatment,22,Disagree,No,Surveyed,41.23883138284522
31,Islamabad,Female,Middle,Treatment,46,Disagree,No,Surveyed,60.79044921796736
32,Multan,Female,Low,Treatment,32,Disagree,No,Surveyed,64.21255957486898
33,Islamabad,Female,Low,Treatment,41,Strongly Agree,No,Surveyed,50.120411274111554
34,Multan,Female,Middle,Control,48,Strongly Agree,No,Not Reached,62.403472532315774
35,Lahore,Female,Low,Control,41,Strongly Agree,No,Surveyed,37.82191747864037
36,Islamabad,Female,Middle,Treatment,48,Disagree,Yes,Surveyed,58.343516598472974
37,Multan,Female,Low,Control,27,Strongly Disagree,Yes,Surveyed,30.516960083789055
38,Karachi,Male,High,Treatment,42,Agree,Yes,Surveyed,50.55703169409512
39,Faisalabad,Male,High,Control,59,Disagree,Yes,Surveyed,63.61893939203189
40,Karachi,Female,Middle,Control,48,Agree,No,Surveyed,56.97474916799523
41,Lahore,Male,Low,Treatment,56,Agree,Yes,Surveyed,80.18728131815678
42,Faisalabad,Male,Middle,Control,46,Strongly Agree,No,Surveyed,49.475197018960856
43,Karachi,Male,Low,Control,51,Agree,Yes,Surveyed,54.47914538062466
44,Faisalabad,Female,Middle,Control,15,Agree,No,Surveyed,17.226566021224485
45,Multan,Male,Middle,Treatment,61,Agree,No,Surveyed,68.09789630416581
46,Karachi,Female,Low,Control,36,Disagree,No,Surveyed,43.85978645859837
47,Faisalabad,Male,Low,Control,48,Agree,Yes,Surveyed,47.84893975108328
48,Multan,Male,High,Treatment,23,Strongly Agree,No,Refused,36.365418572777934
49,Islamabad,Female,Low,Control,56,Strongly Disagree,Yes,Surveyed,59.914434423224385
50,Lahore,Female,Low,Treatment,43,Agree,No,Surveyed,59.345855538945585
51,Lahore,Male,Low,Treatment,52,Disagree,No,Surveyed,68.08466888281443
52,Lahore,Female,Low,Treatment,38,Strongly Agree,No,Not Reached,53.5256792405682
53,Lahore,Female,Middle,Treatment,68,Strongly Agree,No,Surveyed,77.85701803710978
54,Lahore,Male,High,Control,30,Strongly Agree,Yes,Surveyed,28.955012966694383
55,Multan,Female,High,Control,25,Agree,No,Surveyed,36.53058458369068
56,Faisalabad,Female,Low,Treatment,51,Agree,Yes,Refused,60.837703360612196
57,Islamabad,Male,Low,Control,56,Strongly Agree,Yes,Surveyed,60.2822615200854
58,Multan,Male,Low,Treatment,34,Agree,Yes,Surveyed,61.57081365945776
59,Karachi,Male,Low,Treatment,39,Agree,Yes,Surveyed,58.311929528246026
60,Faisalabad,Female,Low,Treatment,36,Strongly Agree,No,Surveyed,53.36921239667875
61,Faisalabad,Female,Low,Treatment,52,Strongly Agree,Yes,Surveyed,70.97060469209595
62,Lahore,Female,Middle,Treatment,58,Strongly Agree,Yes,Surveyed,68.01241725055934
63,Islamabad,Female,Low,Treatment,51,Agree,Yes,Surveyed,70.61810411492414
64,Karachi,Male,Low,Control,49,Agree,Yes,Refused,42.05591211155141
65,Karachi,Female,Low,Treatment,56,Strongly Agree,No,Refused,74.75997339420186
66,Lahore,Male,Low,Control,57,Strongly Agree,Yes,Surveyed,61.28186156406194
67,Karachi,Female,Middle,Treatment,42,Strongly Disagree,Yes,Surveyed,47.95285459701054
68,Islamabad,Female,Middle,Control,55,Agree,Yes,Surveyed,58.68959621954694
69,Karachi,Female,High,Treatment,44,Strongly Agree,No,Surveyed,49.472074495278356
70,Multan,Male,Low,Control,67,Disagree,Yes,Surveyed,59.3975120485384
71,Karachi,Male,High,Control,41,Strongly Agree,Yes,Surveyed,45.25615398627333
72,Multan,Male,Middle,Control,32,Strongly Disagree,Yes,Surveyed,32.283765558131556
73,Islamabad,Male,Low,Treatment,65,Disagree,Yes,Surveyed,88.40083206683272
74,Multan,Male,Low,Treatment,57,Disagree,No,Refused,74.23019613242845
75,Karachi,Female,Middle,Treatment,45,Strongly Agree,No,Surveyed,53.17473199423208
76,Islamabad,Female,Middle,Treatment,42,Strongly Agree,Yes,Surveyed,60.00006256524068
77,Faisalabad,Female,Low,Control,32,Disagree,Yes,Not Reached,34.760605517944
78,Faisalabad,Male,Low,Treatment,37,Disagree,No,Surveyed,46.95278565785157
79,Faisalabad,Male,Low,Control,45,Agree,No,Not Reached,39.013258937407414
80,Multan,Male,High,Control,40,Agree,Yes,Surveyed,46.0958744935758
81,Karachi,Male,Low,Control,56,Strongly Agree,No,Refused,41.836668162281654
82,Multan,Female,Low,Treatment,56,Agree,No,Refused,80.3936270998164
83,Faisalabad,Male,High,Control,56,Disagree,Yes,Surveyed,57.49946852256551
84,Multan,Female,Low,Treatment,21,Strongly Disagree,No,Surveyed,47.7547591717333
85,Karachi,Female,Low,Control,63,Disagree,Yes,Surveyed,73.52554289190422
86,Lahore,Female,Low,Control,41,Strongly Agree,Yes,Surveyed,38.99819931294715
87,Multan,Female,High,Treatment,57,Strongly Agree,No,Surveyed,72.1386102958385
88,Faisalabad,Female,High,Treatment,65,Strongly Agree,No,Surveyed,76.895246860386
89,Faisalabad,Male,High,Control,30,Agree,Yes,Surveyed,28.79573526769659
90,Faisalabad,Female,Low,Treatment,28,Agree,Yes,Surveyed,41.864550119185054
91,Islamabad,Male,Middle,Treatment,35,Disagree,Yes,Surveyed,45.542330670566585
92,Islamabad,Female,Low,Treatment,59,Agree,Yes,Surveyed,71.55556343385797
93,Lahore,Female,High,Treatment,25,Strongly Agree,No,Surveyed,38.66195670388119
94,Multan,Male,Middle,Treatment,51,Agree,No,Surveyed,63.25050952542
95,Faisalabad,Female,Low,Treatment,41,Disagree,Yes,Surveyed,58.89475658839004
96,Islamabad,Female,Low,Treatment,43,Disagree,No,Surveyed,59.51890898416568
97,Multan,Female,Low,Control,37,Strongly Agree,No,Surveyed,46.335920445742765
98,Islamabad,Female,Middle,Treatment,47,Agree,Yes,Refused,50.86493452867103
99,Multan,Male,Low,Control,64,Strongly Agree,Yes,Surveyed,69.66597125750981
100,Islamabad,Female,Middle,Treatment,35,Strongly Agree,No,Surveyed,44.16000516694406
101,Islamabad,Male,Low,Treatment,45,Agree,Yes,Surveyed,61.97850638351615
102,Multan,Male,Low,Treatment,48,Agree,Yes,Surveyed,67.13995650247301
103,Karachi,Male,Low,Control,30,Disagree,Yes,Surveyed,34.676280069601276
104,Islamabad,Male,Low,Control,28,Agree,Yes,Not Reached,26.073470854795
105,Islamabad,Female,High,Treatment,38,Agree,No,Surveyed,47.90253858928803
106,Faisalabad,Male,High,Control,51,Strongly Agree,No,Surveyed,63.19292465865988
107,Karachi,Female,Middle,Control,44,Agree,No,Not Reached,52.680976265912165
108,Karachi,Male,Middle,Treatment,50,Agree,No,Not Reached,68.54527606342201
109,Faisalabad,Male,Middle,Control,40,Agree,Yes,Not Reached,48.529763432924426
110,Islamabad,Female,Low,Treatment,18,Agree,No,Surveyed,31.581929044722838
111,Faisalabad,Female,Low,Treatment,52,Disagree,Yes,Surveyed,55.54495455465275
112,Multan,Female,Low,Treatment,47,Strongly Agree,Yes,Surveyed,64.26589879829521
113,Lahore,Male,High,Control,24,Strongly Agree,Yes,Surveyed,38.48396914314545
114,Multan,Female,Low,Control,63,Strongly Agree,Yes,Surveyed,58.14619098847898
115,Faisalabad,Female,Low,Treatment,57,Agree,Yes,Surveyed,78.13057980951334
116,Multan,Male,Low,Control,44,Agree,Yes,Surveyed,49.40838883990125
117,Karachi,Female,Middle,Treatment,49,Agree,Yes,Surveyed,62.43192486199144
118,Karachi,Male,Middle,Treatment,57,Strongly Agree,Yes,Surveyed,76.12830765522973
119,Karachi,Female,High,Control,12,Disagree,Yes,Refused,18.01403975187687
120,Lahore,Male,High,Control,42,Strongly Agree,Yes,Surveyed,48.734817245766614
121,Lahore,Male,Low,Treatment,54,Strongly Agree,Yes,Surveyed,75.82376390955906
122,Islamabad,Female,High,Treatment,55,Disagree,Yes,Surveyed,70.34919727668199
123,Karachi,Male,Low,Control,27,Strongly Agree,Yes,Surveyed,27.04382220883689
124,Multan,Female,Middle,Treatment,35,Agree,Yes,Surveyed,54.256971557317165
125,Lahore,Female,Middle,Control,41,Strongly Agree,No,Surveyed,53.35276970626862
126,Karachi,Female,Middle,Treatment,51,Disagree,No,Surveyed,51.78018448644691
127,Lahore,Male,Middle,Control,70,Agree,Yes,Not Reached,71.4861053652284
128,Multan,Male,Low,Control,60,Strongly Agree,Yes,Surveyed,72.07100007227271
129,Multan,Female,Middle,Treatment,34,Agree,Yes,Surveyed,44.675243542187175
130,Faisalabad,Female,High,Control,38,Disagree,Yes,Surveyed,42.87755336950338
131,Karachi,Male,Low,Control,35,Agree,Yes,Surveyed,36.014492644923045
132,Karachi,Male,High,Control,51,Disagree,Yes,Surveyed,50.61134017188799
133,Karachi,Male,High,Control,58,Disagree,No,Surveyed,64.11809320450631
134,Faisalabad,Female,Low,Treatment,28,Strongly Agree,Yes,Surveyed,43.72797331015084
135,Lahore,Male,Middle,Control,25,Strongly Agree,No,Surveyed,31.096502192634563
136,Faisalabad,Female,Low,Control,65,Agree,Yes,Not Reached,71.09893660767237
137,Multan,Male,Middle,Treatment,70,Agree,No,Refused,75.72846771443727
138,Karachi,Female,Low,Treatment,50,Disagree,Yes,Surveyed,64.90821021775898
139,Islamabad,Female,Low,Treatment,29,Strongly Agree,Yes,Surveyed,58.2484394706484
140,Multan,Male,Low,Treatment,47,Agree,Yes,Surveyed,69.49623019710238
141,Lahore,Female,High,Treatment,46,Disagree,No,Refused,61.4725780238342
142,Karachi,Male,Low,Treatment,40,Strongly Agree,Yes,Surveyed,66.39093852591537
143,Islamabad,Female,High,Treatment,41,Strongly Agree,Yes,Refused,60.08723678151051
144,Faisalabad,Male,Middle,Treatment,38,Strongly Agree,No,Surveyed,48.27246328628341
145,Multan,Male,Middle,Control,34,Strongly Agree,Yes,Surveyed,37.283956262961766
146,Islamabad,Female,Middle,Treatment,45,Agree,No,Surveyed,53.900036790510164
147,Faisalabad,Female,Low,Control,55,Strongly Agree,Yes,Not Reached,62.888436215007275
148,Karachi,Male,High,Treatment,38,Agree,No,Surveyed,56.71433983536297
149,Multan,Male,Middle,Treatment,37,Disagree,No,Surveyed,60.95284188289628
150,Faisalabad,Male,Low,Treatment,49,Strongly Agree,No,Not Reached,58.85459004983876
151,Karachi,Female,Middle,Control,41,Agree,Yes,Surveyed,45.550520040544384
152,Multan,Male,Low,Treatment,37,Agree,Yes,Surveyed,47.802107638067724
153,Lahore,Female,Low,Control,39,Strongly Agree,No,Surveyed,38.989260568741784
154,Lahore,Male,Low,Control,45,Strongly Agree,Yes,Surveyed,47.17630612308296
155,Karachi,Female,Low,Control,39,Disagree,Yes,Surveyed,47.102098983546604
